sgx,sgy,sgz
-2510.05,-878.677,-5835.54
-2384.56,-878.677,-5835.54
-2259.07,-878.677,-5835.54
-2133.58,-878.677,-5835.54
-2008.09,-878.677,-5835.54
-1882.6,-878.677,-5835.54
-1757.11,-878.677,-5835.54
-1631.62,-878.677,-5835.54
-3012.01,-753.187,-5835.54
-2886.52,-753.187,-5835.54
-2761.03,-753.187,-5835.54
-2635.54,-753.187,-5835.54
-2510.05,-753.187,-5835.54
-2384.56,-753.187,-5835.54
-2259.07,-753.187,-5835.54
-2133.58,-753.187,-5835.54
-2008.09,-753.187,-5835.54
-1882.6,-753.187,-5835.54
-1757.11,-753.187,-5835.54
-1631.62,-753.187,-5835.54
-1506.13,-753.187,-5835.54
-1380.64,-753.187,-5835.54
-3012.01,-627.696,-5835.54
-2886.52,-627.696,-5835.54
-2761.03,-627.696,-5835.54
-2635.54,-627.696,-5835.54
-2510.05,-627.696,-5835.54
-2384.56,-627.696,-5835.54
-2259.07,-627.696,-5835.54
-2133.58,-627.696,-5835.54
-2008.09,-627.696,-5835.54
-1882.6,-627.696,-5835.54
-1757.11,-627.696,-5835.54
-1631.62,-627.696,-5835.54
-1506.13,-627.696,-5835.54
-1380.64,-627.696,-5835.54
-1255.15,-627.696,-5835.54
-1129.66,-627.696,-5835.54
-1004.17,-627.696,-5835.54
-3137.5,-502.206,-5835.54
-3012.01,-502.206,-5835.54
-2886.52,-502.206,-5835.54
-2761.03,-502.206,-5835.54
-2635.54,-502.206,-5835.54
-2510.05,-502.206,-5835.54
-1882.6,-502.206,-5835.54
-1757.11,-502.206,-5835.54
-1631.62,-502.206,-5835.54
-1506.13,-502.206,-5835.54
-1380.64,-502.206,-5835.54
-1255.15,-502.206,-5835.54
-1129.66,-502.206,-5835.54
-1004.17,-502.206,-5835.54
-878.677,-502.206,-5835.54
-3137.5,-376.716,-5835.54
-3012.01,-376.716,-5835.54
-2886.52,-376.716,-5835.54
-2761.03,-376.716,-5835.54
-2635.54,-376.716,-5835.54
-1506.13,-376.716,-5835.54
-1380.64,-376.716,-5835.54
-1255.15,-376.716,-5835.54
-1129.66,-376.716,-5835.54
-1004.17,-376.716,-5835.54
-878.677,-376.716,-5835.54
-3137.5,-251.226,-5835.54
-3012.01,-251.226,-5835.54
-2886.52,-251.226,-5835.54
-2761.03,-251.226,-5835.54
-1255.15,-251.226,-5835.54
-1129.66,-251.226,-5835.54
-1004.17,-251.226,-5835.54
-878.677,-251.226,-5835.54
-3137.5,-125.735,-5835.54
-3012.01,-125.735,-5835.54
-2886.52,-125.735,-5835.54
-2761.03,-125.735,-5835.54
-878.677,-125.735,-5835.54
-753.187,-125.735,-5835.54
-3262.99,-0.245117,-5835.54
-3137.5,-0.245117,-5835.54
-3012.01,-0.245117,-5835.54
-2886.52,-0.245117,-5835.54
-753.187,-0.245117,-5835.54
-3262.99,125.245,-5835.54
-3137.5,125.245,-5835.54
-3012.01,125.245,-5835.54
-2886.52,125.245,-5835.54
-3262.99,250.735,-5835.54
-3137.5,250.735,-5835.54
-3012.01,250.735,-5835.54
-2886.52,250.735,-5835.54
-3262.99,376.226,-5835.54
-3137.5,376.226,-5835.54
-3012.01,376.226,-5835.54
-2886.52,376.226,-5835.54
-3137.5,501.715,-5835.54
-3012.01,501.715,-5835.54
-2886.52,501.715,-5835.54
-3137.5,627.205,-5835.54
-3012.01,627.205,-5835.54
-2886.52,627.205,-5835.54
-627.696,627.205,-5835.54
-3137.5,752.695,-5835.54
-3012.01,752.695,-5835.54
-2886.52,752.695,-5835.54
-627.696,752.695,-5835.54
-3137.5,878.186,-5835.54
-3012.01,878.186,-5835.54
-2886.52,878.186,-5835.54
-2761.03,878.186,-5835.54
-3012.01,1003.68,-5835.54
-2886.52,1003.68,-5835.54
-2761.03,1003.68,-5835.54
-3012.01,1129.17,-5835.54
-2886.52,1129.17,-5835.54
-2761.03,1129.17,-5835.54
-3012.01,1254.66,-5835.54
-2886.52,1254.66,-5835.54
-2761.03,1254.66,-5835.54
-2635.54,1254.66,-5835.54
-2886.52,1380.15,-5835.54
-2761.03,1380.15,-5835.54
-2635.54,1380.15,-5835.54
-2886.52,1505.64,-5835.54
-2761.03,1505.64,-5835.54
-2635.54,1505.64,-5835.54
-2510.05,1505.64,-5835.54
-502.206,1505.64,-5835.54
-2761.03,1631.13,-5835.54
-2635.54,1631.13,-5835.54
-2510.05,1631.13,-5835.54
-502.206,1631.13,-5835.54
-2635.54,1756.62,-5835.54
-2510.05,1756.62,-5835.54
-2384.56,1756.62,-5835.54
-2635.54,1882.11,-5835.54
-2510.05,1882.11,-5835.54
-2384.56,1882.11,-5835.54
-2259.07,1882.11,-5835.54
-2510.05,2007.6,-5835.54
-2384.56,2007.6,-5835.54
-2259.07,2007.6,-5835.54
-2133.58,2007.6,-5835.54
-2384.56,2133.09,-5835.54
